location,date,t_min,t_avg,t_max,prec_total,snow,sunrise,sunset,day_time,sun_time,sunrise_str,sunset_str,day_time_str,sun_time_str,type
Lausanne,2025-11-10,6.96,9.27,11.89,0.0,0.0,7.37,17.19,9.8,8.13,07:22,17:11,09:48,08:08,7-day-mean
Ljubljana,2025-11-10,2.87,6.94,12.17,1.64,0.0,6.82,16.67,9.85,6.33,06:49,16:40,09:51,06:20,7-day-mean
Ljubljana,2025-11-10,1.7,5.1,10.8,0.0,0.0,6.92,16.58,9.67,5.23,06:55,16:35,09:40,05:14,Today
Lausanne,2025-11-10,7.1,9.4,10.8,0.0,0.0,7.47,17.1,9.62,6.42,07:28,17:06,09:37,06:25,Today
Lausanne,2025-11-11,6.71,9.11,11.61,0.0,0.0,7.38,17.15,9.75,7.95,07:23,17:09,09:45,07:57,7-day-mean
Ljubljana,2025-11-11,2.43,6.17,11.64,0.0,0.0,6.85,16.65,9.8,6.07,06:51,16:39,09:48,06:04,7-day-mean
Ljubljana,2025-11-11,0.5,3.8,9.1,0.0,0.0,6.95,16.57,9.62,5.0,06:57,16:34,09:37,05:00,Today
Lausanne,2025-11-11,8.3,10.4,12.7,0.0,0.0,7.5,17.08,9.57,7.95,07:30,17:05,09:34,07:57,Today
Lausanne,2025-11-12,6.96,9.27,11.8,0.0,0.0,7.42,17.14,9.72,7.91,07:25,17:08,09:43,07:54,7-day-mean
Ljubljana,2025-11-12,2.24,5.8,11.09,0.0,0.0,6.87,16.63,9.76,5.79,06:52,16:38,09:45,05:47,7-day-mean
Ljubljana,2025-11-12,1.8,4.8,10.2,0.0,0.0,6.97,16.55,9.58,5.16,06:58,16:33,09:34,05:09,Today
Lausanne,2025-11-12,6.6,10.0,13.5,0.0,0.0,7.52,17.05,9.54,7.94,07:31,17:03,09:32,07:56,Today
Lausanne,2025-11-13,6.9,9.4,12.06,0.0,0.0,7.45,17.12,9.67,7.8,07:27,17:07,09:40,07:48,7-day-mean
Ljubljana,2025-11-13,2.31,5.73,10.77,0.0,0.0,6.9,16.61,9.71,5.67,06:54,16:36,09:42,05:40,7-day-mean
Ljubljana,2025-11-13,3.3,8.9,15.6,0.0,0.0,7.0,16.53,9.54,7.69,07:00,16:31,09:32,07:41,Today
Lausanne,2025-11-13,11.6,14.2,17.8,0.0,0.0,7.55,17.03,9.49,8.37,07:33,17:01,09:29,08:22,Today
Lausanne,2025-11-14,7.71,10.19,12.86,0.0,0.0,7.47,17.1,9.63,7.71,07:28,17:06,09:37,07:42,7-day-mean
Ljubljana,2025-11-14,2.69,6.29,11.4,0.0,0.0,6.92,16.59,9.67,6.05,06:55,16:35,09:40,06:03,7-day-mean
Ljubljana,2025-11-14,5.9,10.6,15.0,0.0,0.0,7.02,16.52,9.5,7.22,07:01,16:31,09:30,07:13,Today
Lausanne,2025-11-14,11.4,13.4,16.5,0.0,0.0,7.57,17.02,9.45,6.2,07:34,17:01,09:27,06:12,Today
Lausanne,2025-11-16,8.9,11.37,14.03,1.41,0.0,7.52,17.06,9.54,7.19,07:31,17:03,09:32,07:11,7-day-mean
Ljubljana,2025-11-16,4.0,7.61,12.6,0.04,0.0,6.97,16.55,9.58,5.66,06:58,16:33,09:34,05:39,7-day-mean
Ljubljana,2025-11-16,12.4,14.0,15.8,5.2,0.0,7.07,16.48,9.41,0.85,07:04,16:28,09:24,00:51,Today
Lausanne,2025-11-16,9.7,10.6,11.8,16.6,0.0,7.62,16.98,9.37,0.0,07:37,16:58,09:22,00:00,Today
Lausanne,2025-11-17,9.36,11.56,14.04,3.79,0.0,7.54,17.04,9.5,6.1,07:32,17:02,09:30,06:06,7-day-mean
Ljubljana,2025-11-17,5.39,8.64,13.19,0.73,0.0,6.99,16.53,9.54,4.89,06:59,16:31,09:32,04:53,7-day-mean
Ljubljana,2025-11-17,7.1,12.3,14.6,19.3,0.0,7.08,16.47,9.37,0.02,07:04,16:28,09:22,00:01,Today
Lausanne,2025-11-17,4.8,8.9,11.1,6.4,0.0,7.63,16.97,9.33,0.05,07:37,16:58,09:19,00:03,Today
Lausanne,2025-11-18,9.06,11.51,14.09,4.64,0.0,7.57,17.02,9.45,4.98,07:34,17:01,09:27,04:58,7-day-mean
Ljubljana,2025-11-18,6.07,9.66,13.7,3.11,0.0,7.02,16.52,9.5,4.14,07:01,16:31,09:30,04:08,7-day-mean
Ljubljana,2025-11-18,0.5,3.1,5.6,25.2,3.85,7.12,16.45,9.33,2.72,07:07,16:27,09:19,02:43,Today
Lausanne,2025-11-18,2.0,4.1,5.6,0.0,0.0,7.67,16.95,9.29,7.51,07:40,16:57,09:17,07:30,Today
Lausanne,2025-11-19,8.16,10.61,12.97,4.64,0.0,7.59,17.0,9.41,4.99,07:35,17:00,09:24,04:59,7-day-mean
Ljubljana,2025-11-19,6.07,9.59,13.21,6.71,0.55,7.04,16.5,9.45,3.93,07:02,16:30,09:27,03:55,7-day-mean
Ljubljana,2025-11-19,-1.1,1.9,5.1,0.0,0.0,7.13,16.43,9.3,3.97,07:07,16:25,09:18,03:58,Today
Lausanne,2025-11-19,1.9,4.3,7.8,0.7,0.0,7.68,16.93,9.25,6.29,07:40,16:55,09:15,06:17,Today
Lausanne,2025-11-20,7.49,9.81,12.01,4.64,0.0,7.61,16.98,9.37,4.78,07:36,16:58,09:22,04:46,7-day-mean
Ljubljana,2025-11-20,5.66,9.13,12.37,6.71,0.55,7.06,16.48,9.41,3.44,07:03,16:28,09:24,03:26,7-day-mean
Ljubljana,2025-11-20,1.0,3.7,6.5,1.3,0.0,7.15,16.42,9.26,5.58,07:09,16:25,09:15,05:34,Today
