location,date,t_min,t_avg,t_max,prec_total,snow,sunrise,sunset,day_time,sun_time,sunrise_str,sunset_str,day_time_str,sun_time_str,type
Lausanne,2025-12-01,3.77,5.19,6.79,8.31,0.0,7.86,16.83,8.97,2.99,07:51,16:49,08:58,02:59,7-day-mean
Ljubljana,2025-12-01,-0.64,1.91,5.24,5.54,0.0,7.31,16.33,9.03,3.51,07:18,16:19,09:01,03:30,7-day-mean
Ljubljana,2025-12-01,-2.0,1.4,5.3,0.0,0.0,7.38,16.3,8.91,5.22,07:22,16:18,08:54,05:13,Today
Lausanne,2025-12-01,4.4,5.4,6.4,1.4,0.0,7.95,16.8,8.85,3.92,07:57,16:48,08:51,03:55,Today
Lausanne,2025-12-02,3.54,4.84,6.33,3.16,0.0,7.88,16.82,8.94,3.55,07:52,16:49,08:56,03:33,7-day-mean
Ljubljana,2025-12-02,-0.6,1.94,5.4,3.01,0.0,7.33,16.32,9.0,4.25,07:19,16:19,09:00,04:15,7-day-mean
Ljubljana,2025-12-02,0.3,3.1,5.9,0.6,0.0,7.4,16.28,8.88,3.0,07:24,16:16,08:52,03:00,Today
Lausanne,2025-12-02,3.2,5.0,7.0,0.0,0.0,7.97,16.78,8.83,6.0,07:58,16:46,08:49,06:00,Today
Lausanne,2025-12-03,3.26,4.67,6.33,1.91,0.0,7.9,16.81,8.91,4.33,07:54,16:48,08:54,04:19,7-day-mean
Ljubljana,2025-12-03,-1.14,1.57,5.21,0.36,0.0,7.34,16.31,8.97,4.68,07:20,16:18,08:58,04:40,7-day-mean
Ljubljana,2025-12-03,2.8,3.5,4.5,1.9,0.0,7.43,16.28,8.86,0.0,07:25,16:16,08:51,00:00,Today
Lausanne,2025-12-03,4.7,5.6,6.6,1.3,0.0,7.98,16.78,8.8,0.99,07:58,16:46,08:48,00:59,Today
Lausanne,2025-12-04,3.4,4.81,6.51,1.74,0.0,7.92,16.8,8.88,4.4,07:55,16:48,08:52,04:24,7-day-mean
Ljubljana,2025-12-04,-1.19,1.37,4.86,0.36,0.0,7.37,16.3,8.94,4.56,07:22,16:18,08:56,04:33,7-day-mean
Ljubljana,2025-12-04,2.1,3.6,4.7,4.1,0.0,7.45,16.28,8.84,0.0,07:27,16:16,08:50,00:00,Today
Lausanne,2025-12-04,6.2,6.7,7.3,1.1,0.0,8.0,16.78,8.78,6.52,08:00,16:46,08:46,06:31,Today
Lausanne,2025-12-05,3.96,5.3,6.87,1.9,0.0,7.94,16.8,8.86,4.29,07:56,16:48,08:51,04:17,7-day-mean
Ljubljana,2025-12-05,-0.94,1.43,4.67,0.94,0.0,7.39,16.3,8.91,3.68,07:23,16:18,08:54,03:40,7-day-mean
